Thermal_Plant,STP_Location,Distance_km
Tata Power Trombay Thermal Power Plant,Adharwadi,35.58727555540396
Tata Power Trombay Thermal Power Plant,Barave,38.52601773522073
Tata Power Trombay Thermal Power Plant,Motagaon,29.938540466306335
Tata Power Trombay Thermal Power Plant,Chinchpada,34.862303229635515
Tata Power Trombay Thermal Power Plant,Manda Titwala 2.0 MLD.(E),44.74557974493011
Tata Power Trombay Thermal Power Plant,Manda Titwala 1.0 MLD (W),44.746259841252446
Tata Power Trombay Thermal Power Plant,Katai-1,38.107488744788945
Tata Power Trombay Thermal Power Plant,Katai-2,36.94315313520137
Tata Power Trombay Thermal Power Plant,Bakra Bazar- Bhiwandi,38.11741471903108
Tata Power Trombay Thermal Power Plant,Slaughter House- Idgah,36.03920291428312
Tata Power Trombay Thermal Power Plant,Bhadwad,36.10639016386012
Tata Power Trombay Thermal Power Plant,Stepping Garden,35.16305011642102
Tata Power Trombay Thermal Power Plant,Vadalgaon STP,36.54150435438023
Tata Power Trombay Thermal Power Plant,Chikloli,38.90003637059171
Tata Power Trombay Thermal Power Plant,Badlapur STP,40.35634687008263
Tata Power Trombay Thermal Power Plant,Shanti Nagar-1,35.93131282726491
Tata Power Trombay Thermal Power Plant,Shanti Nagar-2,35.89855844586153
THUGAON POWER STATION,Vadholgaon,36.3018250252792
Tata Power Trombay Thermal Power Plant,Sec-12 C.B.D.,15.140004950158847
Tata Power Trombay Thermal Power Plant,"Sec-50, Nerul",12.044306582315327
Tata Power Trombay Thermal Power Plant,"Sec-18, Vashi",12.875124366383044
Tata Power Trombay Thermal Power Plant,"Sec-20, Sanpada",12.16701519548221
Tata Power Trombay Thermal Power Plant,"Sec-15, Ghansoli",15.99935342609811
Tata Power Trombay Thermal Power Plant,"Sec-14, Koparkhairane",14.119985725421635
Tata Power Trombay Thermal Power Plant,"Sec-18, Airoli",11.9565529773557
Nashik Thermal Power Station,Chehedi STP,5.676081861871539
Nashik Thermal Power Station,Chehedi STP,5.7634504427260485
Nashik Thermal Power Station,Panchak,3.7330429947029025
Nashik Thermal Power Station,Panchak,3.5510981400489348
Nashik Thermal Power Station,Panchak,3.6705461446919183
Nashik Thermal Power Station,Tapvan,7.980233705980236
Nashik Thermal Power Station,Tapvan,9.538014049115285
Nashik Thermal Power Station,Agar Takali,6.653193218365262
Nashik Thermal Power Station,Agar Takali,9.53884461001882
Nashik Thermal Power Station,Municipal STP Gangapur,18.93867104673471
Nashik Thermal Power Station,"Municipal STP Pimpalgaon, Baswant",37.18795081114663
THUGAON POWER STATION,"Erandwane STP, S.No.3&4 Erandwane",36.56005187628069
THUGAON POWER STATION,"Bopodi STP, S.No.2A, 2B, 2C, 2D &6 (P) Bopodi",31.797185599957665
THUGAON POWER STATION,"Tanajiwadi S.No.24, Shivajinagar",35.41572614868984
THUGAON POWER STATION,"Bhairoba STP, Final plot No.330 S.No.33A, 33B Koregaon Park",39.94558389575045
THUGAON POWER STATION,"Mundhawa STP, S.No.2,3A,4 Mundhawa",44.12066030563834
THUGAON POWER STATION,"Vithalwadi STP, S.No.20(P) Hingane",36.820227859124195
THUGAON POWER STATION,"Baner STP, S.No.221 To 227 Baner",28.85006461131307
THUGAON POWER STATION,"Kharadi STP, S.No.74, 75 Kharadi",44.12892718675117
THUGAON POWER STATION,"New Naidu STP, S.No.439 To 444 Pune final Plot No. 98 Knndy Road",37.115063523744915
THUGAON POWER STATION,"Pune Municipal Corporation, Botanical Garden, Pune 18.5660 / 73.8257",31.369314105735228
THUGAON POWER STATION,"Pune Municipal Corporation, Baner, 18.564744 / 73.776571",28.874367890509912
THUGAON POWER STATION,"Pune Municipal Corporation, Warje, Pune 18.4865 / 73.7968",34.17720561186946
THUGAON POWER STATION,"Pune Municipal Corporation, Vadgaon, Pune 18.4616 / 73.8169",37.62394096336886
THUGAON POWER STATION,"Pune Municipal Corporation,Naidu, 18.5329 / 73.8686",37.115063523744915
THUGAON POWER STATION,"Pune Municipal Corporation, Dhanori, Pune 18.5968 / 73.8969",36.914423520577984
THUGAON POWER STATION,"Pune Municipal Corporation, Bhairoba, Pune 18.538394 / 73.902304",39.975789799805376
THUGAON POWER STATION,"Pune Municipal Corporation, Mundhva, Pune 18.547650 73.950455",44.12601014283803
THUGAON POWER STATION,"Pune Municipal Corporation, Kharadi, Pune 18.547684 / 73.950533",44.132137305621846
THUGAON POWER STATION,"Pune Municipal Corporation, Matsyabij Kendra, Pune 18.5235 / 73.9854",48.57374894424268
THUGAON POWER STATION,"Dongar Gaon, Lonavala",14.902599911035475
THUGAON POWER STATION,"900 Boottee Street, Pune-!",37.981219723218885
THUGAON POWER STATION,"Gaddi Adda, Ward No. Tamela Chawl, Khadaki.",33.111513799311176
THUGAON POWER STATION,"East Khadali, Near Lokmanya Tilak Highschool",35.80906569707821
THUGAON POWER STATION,Chikhali Phase I,25.512092525575454
THUGAON POWER STATION,Chikhali Phase II,25.506101937248225
THUGAON POWER STATION,Chinchwad Phase I (Bhatnagar),25.720469378347303
THUGAON POWER STATION,Chinchwad Phase II,25.25433192623806
THUGAON POWER STATION,Sangvi Phase I,30.768519903873546
THUGAON POWER STATION,Kasarwadi I,28.88213117033763
THUGAON POWER STATION,Kasarwadi II,28.746744164429973
THUGAON POWER STATION,Kasarwadi III,28.64431266508387
THUGAON POWER STATION,Pimple Nilekh,28.190542437784632
THUGAON POWER STATION,Ravet,20.450625817179752
THUGAON POWER STATION,Akurdi,23.235260382267292
THUGAON POWER STATION,Sangvi Phase II (Dapodi),30.64763545044503
THUGAON POWER STATION,Chahroli Phase II,38.75586028023625
Thermal Power Centre,"STP Gopalpur,Pandharpur",22.65433145927671
Thermal Power Centre,"STP, 65 Acre,Pandharpur",22.08761826077109
Koradi Super Thermal Power Station,Bhandewadi,12.96338358136549
Khaparkheda Thermal Power Station,Bhandewadi,16.256658536942425
Mauda Super Thermal Power Station,Bhandewadi,25.145314520153185
Koradi Super Thermal Power Station,Bhandewadi,13.181007867836033
Khaparkheda Thermal Power Station,Bhandewadi,16.423222079598045
Mauda Super Thermal Power Station,Bhandewadi,24.906013921283744
Koradi Super Thermal Power Station,Mankapur,5.633041365876973
Khaparkheda Thermal Power Station,Mankapur,10.549431991618807
Mauda Super Thermal Power Station,Mankapur,32.88924999950763
Koradi Super Thermal Power Station,Mokshadham,11.163534900258881
Khaparkheda Thermal Power Station,Mokshadham,15.744666400321163
Mauda Super Thermal Power Station,Mokshadham,31.402269858557197
Koradi Super Thermal Power Station,Kachimet (NIT),12.363604420978076
Khaparkheda Thermal Power Station,Kachimet (NIT),17.233791323450106
Mauda Super Thermal Power Station,Kachimet (NIT),39.07222917642624
Koradi Super Thermal Power Station,Sonegaon (NIT),16.140417873348984
Khaparkheda Thermal Power Station,Sonegaon (NIT),21.04481953348664
Mauda Super Thermal Power Station,Sonegaon (NIT),36.905650044228295
Koradi Super Thermal Power Station,Hazari Pahad (NIT),10.714210784069088
Khaparkheda Thermal Power Station,Hazari Pahad (NIT),15.554513930546815
Mauda Super Thermal Power Station,Hazari Pahad (NIT),38.30811602187801
Koradi Super Thermal Power Station,Somalwada-1(Ongoing work by NIT),16.96971300943863
Khaparkheda Thermal Power Station,Somalwada-1(Ongoing work by NIT),21.70657966395729
Mauda Super Thermal Power Station,Somalwada-1(Ongoing work by NIT),34.68889458787982
Koradi Super Thermal Power Station,Somalwada-2 (Ongoing work by NIT),16.91364517977993
Khaparkheda Thermal Power Station,Somalwada-2 (Ongoing work by NIT),21.677726268117784
Mauda Super Thermal Power Station,Somalwada-2 (Ongoing work by NIT),35.00431308514198
Koradi Super Thermal Power Station,Ambazari (NIT),14.522213067435708
Khaparkheda Thermal Power Station,Ambazari (NIT),19.447401535207543
Mauda Super Thermal Power Station,Ambazari (NIT),39.57683065547864
Koradi Super Thermal Power Station,Dabha(NIT),10.2672544397514
Khaparkheda Thermal Power Station,Dabha(NIT),14.744080295562657
Mauda Super Thermal Power Station,Dabha(NIT),39.886009203415995
Koradi Super Thermal Power Station,Ittabhatti(NIT),7.846292879769693
Khaparkheda Thermal Power Station,Ittabhatti(NIT),11.482447916667862
Mauda Super Thermal Power Station,Ittabhatti(NIT),27.597082602672522
Koradi Super Thermal Power Station,Nagpur road,33.15994161508945
Khaparkheda Thermal Power Station,Nagpur road,32.977182686579404
Mauda Super Thermal Power Station,Nagpur road,4.179102189710139
Adani Thermal Power Plant,"Tumsar Road, Bhandara",17.262368675582717
Mauda Super Thermal Power Station,"Near Mandir, Pauni",49.93904514774106
Paras Thermal Power Station,Shiloda,20.744244110219054
Paras Thermal Power Station,PDKV,23.86082046341664
Paras Thermal Power Station,"S.No. 752/1, Charmori, Shegaon, Dist.-Buldana",12.771333834978543
Paras Thermal Power Station,"Opposite to Chamunda Devi Mandir, Nimazaga Washim",40.974982621498086
Chandrapur Super Thermal Power Station,Rehmat Nagar,9.083756140787298
Chandrapur Super Thermal Power Station,Azad Garden,6.266127318040645
